date,ticker,name,universe,setup,entry,stop,target,status,fill_date,fill,exit_date,exit,ret,r_mult
20260917,033780,KT&G,KOSPI200,관찰,179179.00,173639.71,190257.57,대기,,,,,,
20260917,055550,신한지주,KOSPI200,관찰,116616.50,110959.36,127930.79,대기,,,,,,
20260917,105560,KB금융,KOSPI200,관찰,181881.70,173042.41,199560.27,대기,,,,,,
20260918,033780,KT&G,KOSPI200,관찰,179179.00,173768.29,190000.43,대기,,,,,,
20260918,069500,KODEX 200,ETF,관찰,114374.26,109054.08,125014.62,대기,,,,,,
20260918,102110,TIGER 200,ETF,관찰,114649.53,109451.82,125044.96,대기,,,,,,
20260918,105560,KB금융,KOSPI200,관찰,181881.70,172924.56,199795.99,대기,,,,,,
20260918,148020,RISE 200,ETF,관찰,115230.11,110040.11,125610.11,대기,,,,,,
20260918,390390,KODEX 미국반도체,ETF,관찰,53843.79,52452.54,56626.29,대기,,,,,,
20260918,472150,TIGER 배당커버드콜액티브,ETF,관찰,21266.24,20365.17,23068.39,대기,,,,,,
20260921,000660,SK하이닉스,KOSPI200,관찰,1891890.00,1762354.29,2150961.43,대기,,,,,,
20260921,005930,삼성전자,KOSPI200,관찰,279279.00,264546.86,308743.29,대기,,,,,,
20260921,007340,DN오토모티브,KOSPI200,관찰,50550.50,47245.14,57161.21,대기,,,,,,
20260921,033780,KT&G,KOSPI200,관찰,179179.00,173907.57,189721.86,대기,,,,,,
20260921,055550,신한지주,KOSPI200,관찰,116616.50,110755.79,128337.93,대기,,,,,,
20260921,069500,KODEX 200,ETF,관찰,114374.26,108997.83,125127.12,대기,,,,,,
20260921,086790,하나금융지주,KOSPI200,관찰,142142.00,134781.29,156863.43,대기,,,,,,
20260921,096530,씨젠,KOSDAQ150,관찰,35785.75,34071.46,39214.32,대기,,,,,,
20260921,102110,TIGER 200,ETF,관찰,114649.53,109398.25,125152.11,대기,,,,,,
20260921,105190,ACE 200,ETF,관찰,114614.50,109432.54,124978.43,대기,,,,,,
20260921,105560,KB금융,KOSPI200,관찰,181881.70,172967.41,199710.27,대기,,,,,,
20260921,139260,TIGER 200 IT,ETF,관찰,145445.30,136715.30,162905.30,대기,,,,,,
20260921,148020,RISE 200,ETF,관찰,115230.11,109997.26,125695.83,대기,,,,,,
20260921,395160,KODEX AI반도체TOP2플러스,ETF,관찰,42572.53,39944.85,47827.89,대기,,,,,,
20260921,395270,HANARO Fn K-반도체,ETF,관찰,60525.46,56790.14,67996.11,대기,,,,,,
20260921,442580,PLUS 글로벌HBM반도체,ETF,관찰,106706.60,101186.60,117746.60,대기,,,,,,
20260921,472150,TIGER 배당커버드콜액티브,ETF,관찰,21266.24,20359.82,23079.10,대기,,,,,,
20260922,005930,삼성전자,KOSPI200,관찰,279279.00,264493.29,308850.43,대기,,,,,,
20260922,007340,DN오토모티브,KOSPI200,관찰,50650.60,47313.10,57325.60,대기,,,,,,
20260922,033780,KT&G,KOSPI200,관찰,179179.00,173404.00,190729.00,대기,,,,,,
20260922,055550,신한지주,KOSPI200,관찰,116616.50,110948.64,127952.21,대기,,,,,,
20260922,066570,LG전자,KOSPI200,관찰,225725.50,212268.36,252639.79,대기,,,,,,
20260922,086790,하나금융지주,KOSPI200,관찰,142142.00,134984.86,156456.29,대기,,,,,,
20260922,096530,씨젠,KOSDAQ150,관찰,35785.75,34143.79,39069.68,대기,,,,,,
